               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.078236,            0.016741,            0.014488,              0.1709,                 0.8,             0.26742,            0.080377,            0.074152,           0.0089212,           0.0087166,            0.011778,           0.0087781,           0.0087781
                  49,            0.082653,            0.015727,            0.014429,             0.13511,                 0.9,             0.15498,            0.060999,            0.085816,           0.0080631,           0.0076614,           0.0099395,           0.0089395,           0.0089395
                  50,            0.096127,            0.012036,            0.012205,             0.13511,                 0.9,             0.15498,            0.060999,            0.085816,           0.0080631,           0.0076614,             0.00901,             0.00901,             0.00901
                  51,            0.092407,            0.014619,            0.010262,             0.23316,                0.85,             0.32522,            0.080428,            0.074531,           0.0088561,           0.0073308,             0.00901,             0.00901,             0.00901
                  52,            0.076698,            0.014666,            0.010547,             0.23316,                0.85,             0.32522,            0.080428,            0.074531,           0.0088561,           0.0073308,           0.0089902,           0.0089902,           0.0089902
                  53,            0.082727,            0.014661,            0.013063,             0.27431,                0.95,             0.39126,             0.16652,            0.065822,           0.0090336,            0.006997,           0.0089704,           0.0089704,           0.0089704
                  54,            0.075635,            0.014512,            0.012759,             0.27431,                0.95,             0.39126,             0.16652,            0.065822,           0.0090336,            0.006997,           0.0089506,           0.0089506,           0.0089506
                  55,            0.071485,            0.013092,            0.011621,             0.23907,                0.85,             0.30116,            0.093284,            0.075134,           0.0084935,           0.0069956,           0.0089308,           0.0089308,           0.0089308
                  56,            0.077054,            0.012927,            0.009755,             0.23907,                0.85,             0.30116,            0.093284,            0.075134,           0.0084935,           0.0069956,            0.008911,            0.008911,            0.008911
                  57,            0.072888,            0.012795,            0.010239,             0.48877,                 0.8,             0.70069,             0.28444,            0.063181,           0.0091765,           0.0066039,           0.0088912,           0.0088912,           0.0088912
                  58,            0.067679,            0.018558,           0.0099439,             0.48877,                 0.8,             0.70069,             0.28444,            0.063181,           0.0091765,           0.0066039,           0.0088714,           0.0088714,           0.0088714
                  59,            0.069722,            0.015242,            0.011699,             0.27007,                0.85,             0.40716,             0.11522,            0.070738,           0.0087571,           0.0061432,           0.0088516,           0.0088516,           0.0088516
                  60,             0.07599,            0.015012,            0.010698,             0.27007,                0.85,             0.40716,             0.11522,            0.070738,           0.0087571,           0.0061432,           0.0088318,           0.0088318,           0.0088318
                  61,            0.074968,            0.015678,            0.010579,             0.39022,                 0.5,             0.57439,             0.21836,            0.071149,           0.0085554,           0.0058069,            0.008812,            0.008812,            0.008812
                  62,            0.073327,            0.013418,           0.0087953,             0.39022,                 0.5,             0.57439,             0.21836,            0.071149,           0.0085554,           0.0058069,           0.0087922,           0.0087922,           0.0087922
                  63,            0.071834,            0.013332,           0.0091438,             0.28662,             0.40318,             0.43172,             0.13674,            0.068868,           0.0085779,           0.0055888,           0.0087724,           0.0087724,           0.0087724
                  64,            0.070379,            0.012204,           0.0088509,             0.28662,             0.40318,             0.43172,             0.13674,            0.068868,           0.0085779,           0.0055888,           0.0087526,           0.0087526,           0.0087526
                  65,            0.066653,            0.013449,           0.0088415,             0.72359,                   1,             0.91025,             0.35866,            0.056126,           0.0091022,           0.0052531,           0.0087328,           0.0087328,           0.0087328
                  66,            0.064549,            0.014219,           0.0083103,             0.72359,                   1,             0.91025,             0.35866,            0.056126,           0.0091022,           0.0052531,            0.008713,            0.008713,            0.008713
                  67,            0.062451,            0.012865,           0.0081475,             0.43522,                 0.8,             0.48811,             0.18115,            0.072341,           0.0082745,           0.0051807,           0.0086932,           0.0086932,           0.0086932
                  68,            0.072371,            0.011895,           0.0078237,             0.43522,                 0.8,             0.48811,             0.18115,            0.072341,           0.0082745,           0.0051807,           0.0086734,           0.0086734,           0.0086734
